ID,AGE(Y),SEX,BB/IS,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_1__E,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,CTRL_2__E,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
1,6,1,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1,1,3,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
4,5,1,1,3,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
5,5,1,1,3,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
6,5,1,1,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
7,5,1,1,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
8,6,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,5,1,1,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
10,5,1,1,3,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1
11,6,0,1,1,3,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
12,6,0,1,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
13,6,0,1,3,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
14,5,1,1,3,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
15,5,1,1,3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
16,6,0,1,3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
17,6,0,1,3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
18,5,0,1,3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
19,5,0,1,3,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
20,5,0,1,3,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
21,6,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
22,6,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,6,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,6,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,6,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
26,6,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,6,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,5,1,0,2,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1
29,5,0,0,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1
30,6,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
31,5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
32,6,1,0,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,6,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,6,1,0,2,2,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
35,5,0,0,2,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0
36,5,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,5,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,6,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,5,1,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,6,0,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,6,0,0,2,3,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
42,6,0,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
43,5,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,6,0,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,5,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,5,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,4,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1
48,5,0,0,0,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
