ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.935
2,BB,main,Phase 1,B,0.903
3,BB,main,Phase 1,C,0.903
4,BB,main,Phase 2,A,0.934
5,BB,main,Phase 2,B,0.903
6,BB,main,Phase 2,C,0.903
7,BB,main,Phase 1,A,0.934
8,BB,main,Phase 1,B,0.903
9,BB,main,Phase 1,C,0.903
10,BB,main,Phase 2,A,0.934
11,BB,main,Phase 2,B,0.903
12,BB,main,Phase 2,C,0.903
13,BB,main,Phase 1,A,0.935
14,BB,main,Phase 1,B,0.902
15,BB,main,Phase 1,C,0.903
16,BB,main,Phase 2,A,0.935
17,BB,main,Phase 2,B,0.903
18,BB,main,Phase 2,C,0.903
19,BB,main,Phase 1,A,0.935
20,BB,main,Phase 1,B,0.903
21,BB,main,Phase 1,C,0.903
22,BB,main,Phase 2,A,0.934
23,BB,main,Phase 2,B,0.903
24,BB,main,Phase 2,C,0.903
25,BB,main,Phase 1,A,0.935
26,BB,main,Phase 1,B,0.902
27,BB,main,Phase 1,C,0.903
28,BB,main,Phase 2,A,0.935
29,BB,main,Phase 2,B,0.903
30,BB,main,Phase 2,C,0.903
31,BB,main,Phase 1,A,0.934
32,BB,main,Phase 1,B,0.903
33,BB,main,Phase 1,C,0.903
34,BB,main,Phase 2,A,0.935
35,BB,main,Phase 2,B,0.903
36,BB,main,Phase 2,C,0.903
37,BB,main,Phase 1,A,0.934
38,BB,main,Phase 1,B,0.903
39,BB,main,Phase 1,C,0.903
40,BB,main,Phase 2,A,0.935
41,BB,main,Phase 2,B,0.903
42,BB,main,Phase 2,C,0.903
43,BB,main,Phase 1,A,0.935
44,BB,main,Phase 1,B,0.902
45,BB,main,Phase 1,C,0.903
46,BB,main,Phase 2,A,0.934
47,BB,main,Phase 2,B,0.902
48,BB,main,Phase 2,C,0.902
49,BB,main,Phase 1,A,0.935
50,BB,main,Phase 1,B,0.903
51,BB,main,Phase 1,C,0.903
52,BB,main,Phase 2,A,0.935
53,BB,main,Phase 2,B,0.903
54,BB,main,Phase 2,C,0.903
55,BB,main,Phase 1,A,0.934
56,BB,main,Phase 1,B,0.903
57,BB,main,Phase 1,C,0.903
58,BB,main,Phase 2,A,0.935
59,BB,main,Phase 2,B,0.903
60,BB,main,Phase 2,C,0.902
61,BB,main,Phase 1,A,0.935
62,BB,main,Phase 1,B,0.903
63,BB,main,Phase 1,C,0.903
64,BB,main,Phase 2,A,0.934
65,BB,main,Phase 2,B,0.903
66,BB,main,Phase 2,C,0.903
67,BB,main,Phase 1,A,0.934
68,BB,main,Phase 1,B,0.903
69,BB,main,Phase 1,C,0.902
70,BB,main,Phase 2,A,0.934
71,BB,main,Phase 2,B,0.903
72,BB,main,Phase 2,C,0.903
73,BB,main,Phase 1,A,0.934
74,BB,main,Phase 1,B,0.902
75,BB,main,Phase 1,C,0.902
76,BB,main,Phase 2,A,0.934
77,BB,main,Phase 2,B,0.903
78,BB,main,Phase 2,C,0.903
79,BB,main,Phase 1,A,0.935
80,BB,main,Phase 1,B,0.902
81,BB,main,Phase 1,C,0.903
82,BB,main,Phase 2,A,0.934
83,BB,main,Phase 2,B,0.902
84,BB,main,Phase 2,C,0.903
85,BB,main,Phase 1,A,0.935
86,BB,main,Phase 1,B,0.903
87,BB,main,Phase 1,C,0.903
88,BB,main,Phase 2,A,0.935
89,BB,main,Phase 2,B,0.902
