ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.86
2,BB,main,Phase 1,B,0.793
3,BB,main,Phase 1,C,0.793
4,BB,main,Phase 2,A,0.86
5,BB,main,Phase 2,B,0.793
6,BB,main,Phase 2,C,0.793
7,BB,main,Phase 1,A,0.86
8,BB,main,Phase 1,B,0.793
9,BB,main,Phase 1,C,0.793
10,BB,main,Phase 2,A,0.86
11,BB,main,Phase 2,B,0.793
12,BB,main,Phase 2,C,0.793
13,BB,main,Phase 1,A,0.86
14,BB,main,Phase 1,B,0.793
15,BB,main,Phase 1,C,0.793
16,BB,main,Phase 2,A,0.86
17,BB,main,Phase 2,B,0.793
18,BB,main,Phase 2,C,0.793
19,BB,main,Phase 1,A,0.86
20,BB,main,Phase 1,B,0.793
21,BB,main,Phase 1,C,0.793
22,BB,main,Phase 2,A,0.86
23,BB,main,Phase 2,B,0.793
24,BB,main,Phase 2,C,0.793
25,BB,main,Phase 1,A,0.86
26,BB,main,Phase 1,B,0.793
27,BB,main,Phase 1,C,0.793
28,BB,main,Phase 2,A,0.86
29,BB,main,Phase 2,B,0.793
30,BB,main,Phase 2,C,0.793
31,BB,main,Phase 1,A,0.86
32,BB,main,Phase 1,B,0.793
33,BB,main,Phase 1,C,0.793
34,BB,main,Phase 2,A,0.86
35,BB,main,Phase 2,B,0.793
36,BB,main,Phase 2,C,0.793
37,BB,main,Phase 1,A,0.86
38,BB,main,Phase 1,B,0.793
39,BB,main,Phase 1,C,0.793
40,BB,main,Phase 2,A,0.86
41,BB,main,Phase 2,B,0.793
42,BB,main,Phase 2,C,0.793
43,BB,main,Phase 1,A,0.86
44,BB,main,Phase 1,B,0.793
45,BB,main,Phase 1,C,0.793
46,BB,main,Phase 2,A,0.86
47,BB,main,Phase 2,B,0.793
48,BB,main,Phase 2,C,0.793
49,BB,main,Phase 1,A,0.86
50,BB,main,Phase 1,B,0.793
51,BB,main,Phase 1,C,0.793
52,BB,main,Phase 2,A,0.86
53,BB,main,Phase 2,B,0.793
54,BB,main,Phase 2,C,0.793
55,BB,main,Phase 1,A,0.86
56,BB,main,Phase 1,B,0.793
57,BB,main,Phase 1,C,0.793
58,BB,main,Phase 2,A,0.86
59,BB,main,Phase 2,B,0.793
60,BB,main,Phase 2,C,0.793
