ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.918
2,BB,main,Phase 1,B,0.877
3,BB,main,Phase 1,C,0.878
4,BB,main,Phase 2,A,0.918
5,BB,main,Phase 2,B,0.878
6,BB,main,Phase 2,C,0.877
7,BB,main,Phase 1,A,0.918
8,BB,main,Phase 1,B,0.877
9,BB,main,Phase 1,C,0.877
10,BB,main,Phase 2,A,0.917
11,BB,main,Phase 2,B,0.877
12,BB,main,Phase 2,C,0.877
13,BB,main,Phase 1,A,0.917
14,BB,main,Phase 1,B,0.877
15,BB,main,Phase 1,C,0.878
16,BB,main,Phase 2,A,0.918
17,BB,main,Phase 2,B,0.877
18,BB,main,Phase 2,C,0.876
19,BB,main,Phase 1,A,0.917
20,BB,main,Phase 1,B,0.878
21,BB,main,Phase 1,C,0.877
22,BB,main,Phase 2,A,0.918
23,BB,main,Phase 2,B,0.877
24,BB,main,Phase 2,C,0.878
25,BB,main,Phase 1,A,0.918
26,BB,main,Phase 1,B,0.876
27,BB,main,Phase 1,C,0.878
28,BB,main,Phase 2,A,0.917
29,BB,main,Phase 2,B,0.876
30,BB,main,Phase 2,C,0.877
31,BB,main,Phase 1,A,0.918
32,BB,main,Phase 1,B,0.877
33,BB,main,Phase 1,C,0.877
34,BB,main,Phase 2,A,0.918
35,BB,main,Phase 2,B,0.877
36,BB,main,Phase 2,C,0.878
37,BB,main,Phase 1,A,0.918
38,BB,main,Phase 1,B,0.876
39,BB,main,Phase 1,C,0.878
40,BB,main,Phase 2,A,0.917
41,BB,main,Phase 2,B,0.877
42,BB,main,Phase 2,C,0.877
43,BB,main,Phase 1,A,0.918
44,BB,main,Phase 1,B,0.878
45,BB,main,Phase 1,C,0.878
46,BB,main,Phase 2,A,0.918
47,BB,main,Phase 2,B,0.878
48,BB,main,Phase 2,C,0.877
49,BB,main,Phase 1,A,0.918
50,BB,main,Phase 1,B,0.878
51,BB,main,Phase 1,C,0.878
52,BB,main,Phase 2,A,0.918
53,BB,main,Phase 2,B,0.877
54,BB,main,Phase 2,C,0.877
55,BB,main,Phase 1,A,0.917
56,BB,main,Phase 1,B,0.876
57,BB,main,Phase 1,C,0.876
58,BB,main,Phase 2,A,0.918
59,BB,main,Phase 2,B,0.877
60,BB,main,Phase 2,C,0.877
61,BB,main,Phase 1,A,0.918
62,BB,main,Phase 1,B,0.876
63,BB,main,Phase 1,C,0.878
64,BB,main,Phase 2,A,0.918
65,BB,main,Phase 2,B,0.877
66,BB,main,Phase 2,C,0.876
67,BB,main,Phase 1,A,0.918
68,BB,main,Phase 1,B,0.876
69,BB,main,Phase 1,C,0.878
70,BB,main,Phase 2,A,0.918
71,BB,main,Phase 2,B,0.876
72,BB,main,Phase 2,C,0.877
73,BB,main,Phase 1,A,0.917
74,BB,main,Phase 1,B,0.877
75,BB,main,Phase 1,C,0.877
76,BB,main,Phase 2,A,0.918
77,BB,main,Phase 2,B,0.876
78,BB,main,Phase 2,C,0.878
79,BB,main,Phase 1,A,0.918
80,BB,main,Phase 1,B,0.878
81,BB,main,Phase 1,C,0.876
82,BB,main,Phase 2,A,0.918
83,BB,main,Phase 2,B,0.876
84,BB,main,Phase 2,C,0.877
85,BB,main,Phase 1,A,0.917
86,BB,main,Phase 1,B,0.876
87,BB,main,Phase 1,C,0.877
88,BB,main,Phase 2,A,0.918
89,BB,main,Phase 2,B,0.877
90,BB,main,Phase 2,C,0.876
91,BB,main,Phase 1,A,0.918
92,BB,main,Phase 1,B,0.878
93,BB,main,Phase 1,C,0.876
94,BB,main,Phase 2,A,0.918
95,BB,main,Phase 2,B,0.877
96,BB,main,Phase 2,C,0.878
97,BB,main,Phase 1,A,0.917
98,BB,main,Phase 1,B,0.877
99,BB,main,Phase 1,C,0.877
100,BB,main,Phase 2,A,0.918
101,BB,main,Phase 2,B,0.877
102,BB,main,Phase 2,C,0.878
103,BB,main,Phase 1,A,0.918
104,BB,main,Phase 1,B,0.878
105,BB,main,Phase 1,C,0.877
106,BB,main,Phase 2,A,0.917
107,BB,main,Phase 2,B,0.877
108,BB,main,Phase 2,C,0.878
109,BB,main,Phase 1,A,0.918
110,BB,main,Phase 1,B,0.878
111,BB,main,Phase 1,C,0.876
112,BB,main,Phase 2,A,0.917
113,BB,main,Phase 2,B,0.876
114,BB,main,Phase 2,C,0.877
115,BB,main,Phase 1,A,0.917
116,BB,main,Phase 1,B,0.876
117,BB,main,Phase 1,C,0.877
118,BB,main,Phase 2,A,0.918
119,BB,main,Phase 2,B,0.877
120,BB,main,Phase 2,C,0.878
121,BB,main,Phase 1,A,0.918
122,BB,main,Phase 1,B,0.877
123,BB,main,Phase 1,C,0.878
124,BB,main,Phase 2,A,0.918
125,BB,main,Phase 2,B,0.878
126,BB,main,Phase 2,C,0.877
127,BB,main,Phase 1,A,0.918
128,BB,main,Phase 1,B,0.878
129,BB,main,Phase 1,C,0.877
130,BB,main,Phase 2,A,0.918
131,BB,main,Phase 2,B,0.877
132,BB,main,Phase 2,C,0.877
133,BB,main,Phase 1,A,0.918
134,BB,main,Phase 1,B,0.878
135,BB,main,Phase 1,C,0.877
136,BB,main,Phase 2,A,0.918
137,BB,main,Phase 2,B,0.877
138,BB,main,Phase 2,C,0.877
139,BB,main,Phase 1,A,0.918
140,BB,main,Phase 1,B,0.878
141,BB,main,Phase 1,C,0.878
142,BB,main,Phase 2,A,0.918
143,BB,main,Phase 2,B,0.877
144,BB,main,Phase 2,C,0.878
145,BB,main,Phase 1,A,0.917
146,BB,main,Phase 1,B,0.876
147,BB,main,Phase 1,C,0.877
148,BB,main,Phase 2,A,0.917
149,BB,main,Phase 2,B,0.878
150,BB,main,Phase 2,C,0.878
151,BB,main,Phase 1,A,0.918
152,BB,main,Phase 1,B,0.877
153,BB,main,Phase 1,C,0.878
154,BB,main,Phase 2,A,0.918
155,BB,main,Phase 2,B,0.877
156,BB,main,Phase 2,C,0.877
157,BB,main,Phase 1,A,0.917
158,BB,main,Phase 1,B,0.878
159,BB,main,Phase 1,C,0.878
160,BB,main,Phase 2,A,0.918
161,BB,main,Phase 2,B,0.878
162,BB,main,Phase 2,C,0.877
163,BB,main,Phase 1,A,0.917
164,BB,main,Phase 1,B,0.877
165,BB,main,Phase 1,C,0.877
166,BB,main,Phase 2,A,0.918
167,BB,main,Phase 2,B,0.876
168,BB,main,Phase 2,C,0.877
