ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.86
2,BB,main,Phase 1,B,0.789
3,BB,main,Phase 1,C,0.795
4,BB,main,Phase 2,A,0.86
5,BB,main,Phase 2,B,0.794
6,BB,main,Phase 2,C,0.79
7,BB,main,Phase 1,A,0.861
8,BB,main,Phase 1,B,0.793
9,BB,main,Phase 1,C,0.794
10,BB,main,Phase 2,A,0.859
11,BB,main,Phase 2,B,0.794
12,BB,main,Phase 2,C,0.79
13,BB,main,Phase 1,A,0.859
14,BB,main,Phase 1,B,0.79
15,BB,main,Phase 1,C,0.791
16,BB,main,Phase 2,A,0.859
17,BB,main,Phase 2,B,0.79
18,BB,main,Phase 2,C,0.795
19,BB,main,Phase 1,A,0.86
20,BB,main,Phase 1,B,0.792
21,BB,main,Phase 1,C,0.789
22,BB,main,Phase 2,A,0.859
23,BB,main,Phase 2,B,0.791
24,BB,main,Phase 2,C,0.789
25,BB,main,Phase 1,A,0.859
26,BB,main,Phase 1,B,0.794
27,BB,main,Phase 1,C,0.79
28,BB,main,Phase 2,A,0.861
29,BB,main,Phase 2,B,0.789
30,BB,main,Phase 2,C,0.789
31,BB,main,Phase 1,A,0.859
32,BB,main,Phase 1,B,0.791
33,BB,main,Phase 1,C,0.794
34,BB,main,Phase 2,A,0.861
35,BB,main,Phase 2,B,0.797
36,BB,main,Phase 2,C,0.795
37,BB,main,Phase 1,A,0.861
38,BB,main,Phase 1,B,0.796
39,BB,main,Phase 1,C,0.795
40,BB,main,Phase 2,A,0.862
41,BB,main,Phase 2,B,0.788
42,BB,main,Phase 2,C,0.792
43,BB,main,Phase 1,A,0.861
44,BB,main,Phase 1,B,0.794
45,BB,main,Phase 1,C,0.797
46,BB,main,Phase 2,A,0.862
47,BB,main,Phase 2,B,0.796
48,BB,main,Phase 2,C,0.789
49,BB,main,Phase 1,A,0.859
50,BB,main,Phase 1,B,0.789
51,BB,main,Phase 1,C,0.795
52,BB,main,Phase 2,A,0.861
53,BB,main,Phase 2,B,0.795
54,BB,main,Phase 2,C,0.796
55,BB,main,Phase 1,A,0.859
56,BB,main,Phase 1,B,0.79
57,BB,main,Phase 1,C,0.792
58,BB,main,Phase 2,A,0.861
59,BB,main,Phase 2,B,0.796
60,BB,main,Phase 2,C,0.793
61,BB,main,Phase 1,A,0.859
62,BB,main,Phase 1,B,0.792
63,BB,main,Phase 1,C,0.79
64,BB,main,Phase 2,A,0.861
65,BB,main,Phase 2,B,0.797
66,BB,main,Phase 2,C,0.792
67,BB,main,Phase 1,A,0.861
68,BB,main,Phase 1,B,0.797
69,BB,main,Phase 1,C,0.793
70,BB,main,Phase 2,A,0.859
71,BB,main,Phase 2,B,0.795
72,BB,main,Phase 2,C,0.791
73,BB,main,Phase 1,A,0.859
74,BB,main,Phase 1,B,0.795
75,BB,main,Phase 1,C,0.789
76,BB,main,Phase 2,A,0.859
77,BB,main,Phase 2,B,0.793
78,BB,main,Phase 2,C,0.794
79,BB,main,Phase 1,A,0.859
80,BB,main,Phase 1,B,0.79
81,BB,main,Phase 1,C,0.793
82,BB,main,Phase 2,A,0.859
83,BB,main,Phase 2,B,0.792
84,BB,main,Phase 2,C,0.789
85,BB,main,Phase 1,A,0.861
86,BB,main,Phase 1,B,0.794
87,BB,main,Phase 1,C,0.794
88,BB,main,Phase 2,A,0.86
89,BB,main,Phase 2,B,0.794
90,BB,main,Phase 2,C,0.795
91,BB,main,Phase 1,A,0.86
92,BB,main,Phase 1,B,0.795
93,BB,main,Phase 1,C,0.793
94,BB,main,Phase 2,A,0.861
95,BB,main,Phase 2,B,0.791
96,BB,main,Phase 2,C,0.794
97,BB,main,Phase 1,A,0.859
98,BB,main,Phase 1,B,0.796
99,BB,main,Phase 1,C,0.793
100,BB,main,Phase 2,A,0.861
101,BB,main,Phase 2,B,0.792
102,BB,main,Phase 2,C,0.79
103,BB,main,Phase 1,A,0.859
104,BB,main,Phase 1,B,0.792
105,BB,main,Phase 1,C,0.791
106,BB,main,Phase 2,A,0.86
107,BB,main,Phase 2,B,0.789
108,BB,main,Phase 2,C,0.789
109,BB,main,Phase 1,A,0.859
110,BB,main,Phase 1,B,0.792
111,BB,main,Phase 1,C,0.791
112,BB,main,Phase 2,A,0.861
113,BB,main,Phase 2,B,0.788
114,BB,main,Phase 2,C,0.79
115,BB,main,Phase 1,A,0.859
116,BB,main,Phase 1,B,0.791
117,BB,main,Phase 1,C,0.795
118,BB,main,Phase 2,A,0.86
119,BB,main,Phase 2,B,0.794
120,BB,main,Phase 2,C,0.796
121,BB,main,Phase 1,A,0.859
122,BB,main,Phase 1,B,0.79
123,BB,main,Phase 1,C,0.795
124,BB,main,Phase 2,A,0.861
125,BB,main,Phase 2,B,0.791
126,BB,main,Phase 2,C,0.792
127,BB,main,Phase 1,A,0.862
128,BB,main,Phase 1,B,0.792
129,BB,main,Phase 1,C,0.797
130,BB,main,Phase 2,A,0.86
131,BB,main,Phase 2,B,0.792
132,BB,main,Phase 2,C,0.794
133,BB,main,Phase 1,A,0.861
134,BB,main,Phase 1,B,0.796
135,BB,main,Phase 1,C,0.791
136,BB,main,Phase 2,A,0.859
137,BB,main,Phase 2,B,0.794
138,BB,main,Phase 2,C,0.789
139,BB,main,Phase 1,A,0.86
140,BB,main,Phase 1,B,0.797
141,BB,main,Phase 1,C,0.79
142,BB,main,Phase 2,A,0.861
143,BB,main,Phase 2,B,0.794
144,BB,main,Phase 2,C,0.791
145,BB,main,Phase 1,A,0.861
146,BB,main,Phase 1,B,0.79
147,BB,main,Phase 1,C,0.795
148,BB,main,Phase 2,A,0.86
149,BB,main,Phase 2,B,0.797
150,BB,main,Phase 2,C,0.795
151,BB,main,Phase 1,A,0.861
152,BB,main,Phase 1,B,0.791
153,BB,main,Phase 1,C,0.794
154,BB,main,Phase 2,A,0.86
155,BB,main,Phase 2,B,0.79
156,BB,main,Phase 2,C,0.79
157,BB,main,Phase 1,A,0.859
158,BB,main,Phase 1,B,0.796
159,BB,main,Phase 1,C,0.797
160,BB,main,Phase 2,A,0.861
161,BB,main,Phase 2,B,0.79
162,BB,main,Phase 2,C,0.793
163,BB,main,Phase 1,A,0.861
164,BB,main,Phase 1,B,0.794
165,BB,main,Phase 1,C,0.79
166,BB,main,Phase 2,A,0.862
167,BB,main,Phase 2,B,0.793
168,BB,main,Phase 2,C,0.791
169,BB,main,Phase 1,A,0.859
170,BB,main,Phase 1,B,0.796
171,BB,main,Phase 1,C,0.792
172,BB,main,Phase 2,A,0.86
173,BB,main,Phase 2,B,0.795
