ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.906
2,BB,main,Phase 1,B,0.861
3,BB,main,Phase 1,C,0.86
4,BB,main,Phase 2,A,0.906
5,BB,main,Phase 2,B,0.859
6,BB,main,Phase 2,C,0.861
7,BB,main,Phase 1,A,0.907
8,BB,main,Phase 1,B,0.861
9,BB,main,Phase 1,C,0.861
10,BB,main,Phase 2,A,0.906
11,BB,main,Phase 2,B,0.859
12,BB,main,Phase 2,C,0.862
13,BB,main,Phase 1,A,0.907
14,BB,main,Phase 1,B,0.86
15,BB,main,Phase 1,C,0.859
16,BB,main,Phase 2,A,0.906
17,BB,main,Phase 2,B,0.86
18,BB,main,Phase 2,C,0.861
19,BB,main,Phase 1,A,0.906
20,BB,main,Phase 1,B,0.861
21,BB,main,Phase 1,C,0.862
22,BB,main,Phase 2,A,0.906
23,BB,main,Phase 2,B,0.861
24,BB,main,Phase 2,C,0.86
25,BB,main,Phase 1,A,0.906
26,BB,main,Phase 1,B,0.861
27,BB,main,Phase 1,C,0.861
28,BB,main,Phase 2,A,0.907
29,BB,main,Phase 2,B,0.859
30,BB,main,Phase 2,C,0.86
31,BB,main,Phase 1,A,0.907
32,BB,main,Phase 1,B,0.86
33,BB,main,Phase 1,C,0.858
34,BB,main,Phase 2,A,0.906
35,BB,main,Phase 2,B,0.862
36,BB,main,Phase 2,C,0.861
37,BB,main,Phase 1,A,0.907
38,BB,main,Phase 1,B,0.859
39,BB,main,Phase 1,C,0.859
40,BB,main,Phase 2,A,0.907
41,BB,main,Phase 2,B,0.859
42,BB,main,Phase 2,C,0.86
43,BB,main,Phase 1,A,0.907
44,BB,main,Phase 1,B,0.86
45,BB,main,Phase 1,C,0.859
46,BB,main,Phase 2,A,0.906
47,BB,main,Phase 2,B,0.861
48,BB,main,Phase 2,C,0.861
49,BB,main,Phase 1,A,0.906
50,BB,main,Phase 1,B,0.859
51,BB,main,Phase 1,C,0.861
52,BB,main,Phase 2,A,0.906
53,BB,main,Phase 2,B,0.861
54,BB,main,Phase 2,C,0.86
55,BB,main,Phase 1,A,0.907
56,BB,main,Phase 1,B,0.858
57,BB,main,Phase 1,C,0.86
58,BB,main,Phase 2,A,0.906
59,BB,main,Phase 2,B,0.859
60,BB,main,Phase 2,C,0.859
61,BB,main,Phase 1,A,0.906
62,BB,main,Phase 1,B,0.861
63,BB,main,Phase 1,C,0.86
64,BB,main,Phase 2,A,0.906
65,BB,main,Phase 2,B,0.861
66,BB,main,Phase 2,C,0.861
67,BB,main,Phase 1,A,0.906
68,BB,main,Phase 1,B,0.862
69,BB,main,Phase 1,C,0.861
70,BB,main,Phase 2,A,0.906
71,BB,main,Phase 2,B,0.86
72,BB,main,Phase 2,C,0.861
73,BB,main,Phase 1,A,0.906
74,BB,main,Phase 1,B,0.861
75,BB,main,Phase 1,C,0.859
76,BB,main,Phase 2,A,0.906
77,BB,main,Phase 2,B,0.859
78,BB,main,Phase 2,C,0.861
79,BB,main,Phase 1,A,0.906
80,BB,main,Phase 1,B,0.859
81,BB,main,Phase 1,C,0.86
82,BB,main,Phase 2,A,0.906
83,BB,main,Phase 2,B,0.861
84,BB,main,Phase 2,C,0.861
85,BB,main,Phase 1,A,0.906
86,BB,main,Phase 1,B,0.859
87,BB,main,Phase 1,C,0.86
88,BB,main,Phase 2,A,0.906
89,BB,main,Phase 2,B,0.861
90,BB,main,Phase 2,C,0.859
91,BB,main,Phase 1,A,0.907
92,BB,main,Phase 1,B,0.86
93,BB,main,Phase 1,C,0.86
94,BB,main,Phase 2,A,0.907
95,BB,main,Phase 2,B,0.86
96,BB,main,Phase 2,C,0.859
97,BB,main,Phase 1,A,0.906
98,BB,main,Phase 1,B,0.859
99,BB,main,Phase 1,C,0.861
100,BB,main,Phase 2,A,0.906
101,BB,main,Phase 2,B,0.859
102,BB,main,Phase 2,C,0.86
103,BB,main,Phase 1,A,0.907
104,BB,main,Phase 1,B,0.859
105,BB,main,Phase 1,C,0.859
106,BB,main,Phase 2,A,0.907
107,BB,main,Phase 2,B,0.861
108,BB,main,Phase 2,C,0.861
109,BB,main,Phase 1,A,0.907
110,BB,main,Phase 1,B,0.86
111,BB,main,Phase 1,C,0.861
112,BB,main,Phase 2,A,0.906
113,BB,main,Phase 2,B,0.861
114,BB,main,Phase 2,C,0.86
115,BB,main,Phase 1,A,0.906
116,BB,main,Phase 1,B,0.859
117,BB,main,Phase 1,C,0.861
118,BB,main,Phase 2,A,0.906
119,BB,main,Phase 2,B,0.862
120,BB,main,Phase 2,C,0.859
121,BB,main,Phase 1,A,0.907
122,BB,main,Phase 1,B,0.861
123,BB,main,Phase 1,C,0.86
124,BB,main,Phase 2,A,0.906
125,BB,main,Phase 2,B,0.861
126,BB,main,Phase 2,C,0.86
127,BB,main,Phase 1,A,0.906
128,BB,main,Phase 1,B,0.861
129,BB,main,Phase 1,C,0.86
130,BB,main,Phase 2,A,0.906
131,BB,main,Phase 2,B,0.86
132,BB,main,Phase 2,C,0.861
133,BB,main,Phase 1,A,0.906
134,BB,main,Phase 1,B,0.859
135,BB,main,Phase 1,C,0.859
136,BB,main,Phase 2,A,0.906
137,BB,main,Phase 2,B,0.86
138,BB,main,Phase 2,C,0.861
139,BB,main,Phase 1,A,0.906
140,BB,main,Phase 1,B,0.86
141,BB,main,Phase 1,C,0.859
142,BB,main,Phase 2,A,0.906
143,BB,main,Phase 2,B,0.859
