ID,condition,subcondition,trialType,objects,ratings
1,BB,A,Experimental,A,0.866
2,BB,A,Experimental,B,0.753
3,BB,A,Experimental,C,0.753
4,BB,A,Control,A,0.753
5,BB,A,Control,B,0.753
6,BB,A,Control,C,0.753
7,BB,A,Control,D,0.848
8,BB,A,Experimental,A,0.866
9,BB,A,Experimental,B,0.753
10,BB,A,Experimental,C,0.753
11,BB,A,Control,A,0.753
12,BB,A,Control,B,0.753
13,BB,A,Control,C,0.753
14,BB,A,Control,D,0.848
15,BB,A,Experimental,A,0.866
16,BB,A,Experimental,B,0.753
17,BB,A,Experimental,C,0.753
18,BB,A,Control,A,0.753
19,BB,A,Control,B,0.753
20,BB,A,Control,C,0.753
21,BB,A,Control,D,0.848
22,BB,A,Experimental,A,0.866
23,BB,A,Experimental,B,0.753
24,BB,A,Experimental,C,0.753
25,BB,A,Control,A,0.753
26,BB,A,Control,B,0.753
27,BB,A,Control,C,0.753
28,BB,A,Control,D,0.848
29,BB,A,Experimental,A,0.866
30,BB,A,Experimental,B,0.753
31,BB,A,Experimental,C,0.753
32,BB,A,Control,A,0.753
33,BB,A,Control,B,0.753
34,BB,A,Control,C,0.753
35,BB,A,Control,D,0.848
36,BB,A,Experimental,A,0.866
37,BB,A,Experimental,B,0.753
38,BB,A,Experimental,C,0.753
39,BB,A,Control,A,0.753
40,BB,A,Control,B,0.753
41,BB,A,Control,C,0.753
42,BB,A,Control,D,0.848
43,BB,A,Experimental,A,0.866
44,BB,A,Experimental,B,0.753
45,BB,A,Experimental,C,0.753
46,BB,A,Control,A,0.753
47,BB,A,Control,B,0.753
48,BB,A,Control,C,0.753
49,BB,A,Control,D,0.848
50,BB,A,Experimental,A,0.866
51,BB,A,Experimental,B,0.753
52,BB,A,Experimental,C,0.753
53,BB,A,Control,A,0.753
54,BB,A,Control,B,0.753
55,BB,A,Control,C,0.753
56,BB,A,Control,D,0.848
57,BB,A,Experimental,A,0.866
58,BB,A,Experimental,B,0.753
59,BB,A,Experimental,C,0.753
60,BB,A,Control,A,0.753
61,BB,A,Control,B,0.753
62,BB,A,Control,C,0.753
63,BB,A,Control,D,0.848
64,BB,A,Experimental,A,0.866
65,BB,A,Experimental,B,0.753
66,BB,A,Experimental,C,0.753
67,BB,A,Control,A,0.753
68,BB,A,Control,B,0.753
69,BB,A,Control,C,0.753
70,BB,A,Control,D,0.848
71,BB,A,Experimental,A,0.866
72,BB,A,Experimental,B,0.753
73,BB,A,Experimental,C,0.753
74,BB,A,Control,A,0.753
75,BB,A,Control,B,0.753
76,BB,A,Control,C,0.753
77,BB,A,Control,D,0.848
78,BB,A,Experimental,A,0.866
79,BB,A,Experimental,B,0.753
80,BB,A,Experimental,C,0.753
81,BB,A,Control,A,0.753
82,BB,A,Control,B,0.753
83,BB,A,Control,C,0.753
84,BB,A,Control,D,0.848
85,BB,A,Experimental,A,0.866
86,BB,A,Experimental,B,0.753
87,BB,A,Experimental,C,0.753
88,BB,A,Control,A,0.753
89,BB,A,Control,B,0.753
90,BB,A,Control,C,0.753
91,BB,A,Control,D,0.848
92,BB,A,Experimental,A,0.866
93,BB,A,Experimental,B,0.753
94,BB,A,Experimental,C,0.753
95,BB,A,Control,A,0.753
96,BB,A,Control,B,0.753
97,BB,A,Control,C,0.753
98,BB,A,Control,D,0.848
99,BB,A,Experimental,A,0.866
100,BB,A,Experimental,B,0.753
101,BB,A,Experimental,C,0.753
102,BB,A,Control,A,0.753
103,BB,A,Control,B,0.753
104,BB,A,Control,C,0.753
105,BB,A,Control,D,0.848
106,BB,A,Experimental,A,0.866
107,BB,A,Experimental,B,0.753
108,BB,A,Experimental,C,0.753
109,BB,A,Control,A,0.753
110,BB,A,Control,B,0.753
111,BB,A,Control,C,0.753
112,BB,A,Control,D,0.848
113,BB,A,Experimental,A,0.866
114,BB,A,Experimental,B,0.753
115,BB,A,Experimental,C,0.753
116,BB,A,Control,A,0.753
117,BB,A,Control,B,0.753
118,BB,A,Control,C,0.753
119,BB,A,Control,D,0.848
120,BB,A,Experimental,A,0.866
121,BB,A,Experimental,B,0.753
122,BB,A,Experimental,C,0.753
