ID,condition,subcondition,trialType,objects,ratings
1,BB,A,Experimental,A,0.857
2,BB,A,Experimental,B,0.862
3,BB,A,Experimental,C,0.649
4,BB,A,Control,A,0.696
5,BB,A,Control,B,0.868
6,BB,A,Control,C,0.624
7,BB,A,Control,D,0.849
8,BB,A,Experimental,A,0.859
9,BB,A,Experimental,B,0.867
10,BB,A,Experimental,C,0.682
11,BB,A,Control,A,0.628
12,BB,A,Control,B,0.695
13,BB,A,Control,C,0.845
14,BB,A,Control,D,0.839
15,BB,A,Experimental,A,0.871
16,BB,A,Experimental,B,0.73
17,BB,A,Experimental,C,0.615
18,BB,A,Control,A,0.893
19,BB,A,Control,B,0.724
20,BB,A,Control,C,0.707
21,BB,A,Control,D,0.829
22,BB,A,Experimental,A,0.856
23,BB,A,Experimental,B,0.763
24,BB,A,Experimental,C,0.717
25,BB,A,Control,A,0.797
26,BB,A,Control,B,0.615
27,BB,A,Control,C,0.723
28,BB,A,Control,D,0.851
29,BB,A,Experimental,A,0.883
30,BB,A,Experimental,B,0.799
31,BB,A,Experimental,C,0.786
32,BB,A,Control,A,0.764
33,BB,A,Control,B,0.648
34,BB,A,Control,C,0.829
35,BB,A,Control,D,0.841
36,BB,A,Experimental,A,0.886
37,BB,A,Experimental,B,0.592
38,BB,A,Experimental,C,0.772
39,BB,A,Control,A,0.8
40,BB,A,Control,B,0.558
41,BB,A,Control,C,0.79
42,BB,A,Control,D,0.858
43,BB,A,Experimental,A,0.86
44,BB,A,Experimental,B,0.835
45,BB,A,Experimental,C,0.704
46,BB,A,Control,A,0.715
47,BB,A,Control,B,0.749
48,BB,A,Control,C,0.737
49,BB,A,Control,D,0.848
50,BB,A,Experimental,A,0.863
51,BB,A,Experimental,B,0.584
52,BB,A,Experimental,C,0.854
53,BB,A,Control,A,0.87
54,BB,A,Control,B,0.743
55,BB,A,Control,C,0.549
56,BB,A,Control,D,0.849
57,BB,A,Experimental,A,0.854
58,BB,A,Experimental,B,0.803
59,BB,A,Experimental,C,0.729
60,BB,A,Control,A,0.664
61,BB,A,Control,B,0.696
62,BB,A,Control,C,0.905
63,BB,A,Control,D,0.85
64,BB,A,Experimental,A,0.885
65,BB,A,Experimental,B,0.584
66,BB,A,Experimental,C,0.736
67,BB,A,Control,A,0.857
68,BB,A,Control,B,0.574
69,BB,A,Control,C,0.723
70,BB,A,Control,D,0.827
71,BB,A,Experimental,A,0.865
72,BB,A,Experimental,B,0.866
73,BB,A,Experimental,C,0.674
74,BB,A,Control,A,0.881
75,BB,A,Control,B,0.757
76,BB,A,Control,C,0.631
77,BB,A,Control,D,0.841
78,BB,A,Experimental,A,0.858
79,BB,A,Experimental,B,0.83
80,BB,A,Experimental,C,0.811
81,BB,A,Control,A,0.782
82,BB,A,Control,B,0.529
83,BB,A,Control,C,0.797
84,BB,A,Control,D,0.847
85,BB,A,Experimental,A,0.879
86,BB,A,Experimental,B,0.597
87,BB,A,Experimental,C,0.782
88,BB,A,Control,A,0.904
89,BB,A,Control,B,0.594
90,BB,A,Control,C,0.718
91,BB,A,Control,D,0.853
92,BB,A,Experimental,A,0.863
93,BB,A,Experimental,B,0.692
94,BB,A,Experimental,C,0.886
95,BB,A,Control,A,0.858
96,BB,A,Control,B,0.801
97,BB,A,Control,C,0.503
98,BB,A,Control,D,0.849
99,BB,A,Experimental,A,0.86
100,BB,A,Experimental,B,0.741
101,BB,A,Experimental,C,0.774
102,BB,A,Control,A,0.861
103,BB,A,Control,B,0.634
104,BB,A,Control,C,0.724
105,BB,A,Control,D,0.846
106,BB,A,Experimental,A,0.873
107,BB,A,Experimental,B,0.854
108,BB,A,Experimental,C,0.739
109,BB,A,Control,A,0.761
110,BB,A,Control,B,0.814
111,BB,A,Control,C,0.603
112,BB,A,Control,D,0.822
113,BB,A,Experimental,A,0.862
114,BB,A,Experimental,B,0.775
115,BB,A,Experimental,C,0.711
116,BB,A,Control,A,0.861
117,BB,A,Control,B,0.728
118,BB,A,Control,C,0.713
119,BB,A,Control,D,0.848
120,BB,A,Experimental,A,0.889
121,BB,A,Experimental,B,0.745
122,BB,A,Experimental,C,0.628
123,BB,A,Control,A,0.785
124,BB,A,Control,B,0.856
125,BB,A,Control,C,0.502
126,BB,A,Control,D,0.844
127,BB,A,Experimental,A,0.871
128,BB,A,Experimental,B,0.869
129,BB,A,Experimental,C,0.717
130,BB,A,Control,A,0.778
131,BB,A,Control,B,0.733
132,BB,A,Control,C,0.702
133,BB,A,Control,D,0.857
134,BB,A,Experimental,A,0.879
135,BB,A,Experimental,B,0.751
136,BB,A,Experimental,C,0.552
137,BB,A,Control,A,0.663
138,BB,A,Control,B,0.778
139,BB,A,Control,C,0.721
140,BB,A,Control,D,0.856
141,BB,A,Experimental,A,0.864
142,BB,A,Experimental,B,0.784
143,BB,A,Experimental,C,0.732
144,BB,A,Control,A,0.567
145,BB,A,Control,B,0.856
146,BB,A,Control,C,0.733
147,BB,A,Control,D,0.828
148,BB,A,Experimental,A,0.902
149,BB,A,Experimental,B,0.568
150,BB,A,Experimental,C,0.774
151,BB,A,Control,A,0.662
152,BB,A,Control,B,0.733
153,BB,A,Control,C,0.76
154,BB,A,Control,D,0.857
155,BB,A,Experimental,A,0.906
156,BB,A,Experimental,B,0.703
157,BB,A,Experimental,C,0.739
158,BB,A,Control,A,0.77
159,BB,A,Control,B,0.811
160,BB,A,Control,C,0.771
161,BB,A,Control,D,0.845
162,BB,A,Experimental,A,0.863
163,BB,A,Experimental,B,0.74
164,BB,A,Experimental,C,0.662
165,BB,A,Control,A,0.713
166,BB,A,Control,B,0.87
167,BB,A,Control,C,0.757
168,BB,A,Control,D,0.846
169,BB,A,Experimental,A,0.867
170,BB,A,Experimental,B,0.876
171,BB,A,Experimental,C,0.746
172,BB,A,Control,A,0.693
173,BB,A,Control,B,0.91
174,BB,A,Control,C,0.657
175,BB,A,Control,D,0.847
176,BB,A,Experimental,A,0.862
177,BB,A,Experimental,B,0.693
178,BB,A,Experimental,C,0.721
179,BB,A,Control,A,0.846
180,BB,A,Control,B,0.68
181,BB,A,Control,C,0.726
182,BB,A,Control,D,0.835
183,BB,A,Experimental,A,0.863
184,BB,A,Experimental,B,0.737
185,BB,A,Experimental,C,0.769
186,BB,A,Control,A,0.613
187,BB,A,Control,B,0.802
188,BB,A,Control,C,0.76
189,BB,A,Control,D,0.822
190,BB,A,Experimental,A,0.854
191,BB,A,Experimental,B,0.769
192,BB,A,Experimental,C,0.76
193,BB,A,Control,A,0.771
194,BB,A,Control,B,0.768
195,BB,A,Control,C,0.814
196,BB,A,Control,D,0.832
197,BB,A,Experimental,A,0.902
198,BB,A,Experimental,B,0.515
199,BB,A,Experimental,C,0.775
200,BB,A,Control,A,0.838
201,BB,A,Control,B,0.568
202,BB,A,Control,C,0.73
203,BB,A,Control,D,0.851
204,BB,A,Experimental,A,0.867
205,BB,A,Experimental,B,0.651
206,BB,A,Experimental,C,0.811
207,BB,A,Control,A,0.643
208,BB,A,Control,B,0.823
209,BB,A,Control,C,0.673
210,BB,A,Control,D,0.86
211,BB,A,Experimental,A,0.862
212,BB,A,Experimental,B,0.792
213,BB,A,Experimental,C,0.81
214,BB,A,Control,A,0.627
215,BB,A,Control,B,0.735
216,BB,A,Control,C,0.898
217,BB,A,Control,D,0.856
218,BB,A,Experimental,A,0.887
219,BB,A,Experimental,B,0.688
220,BB,A,Experimental,C,0.751
221,BB,A,Control,A,0.912
222,BB,A,Control,B,0.701
223,BB,A,Control,C,0.655
224,BB,A,Control,D,0.848
225,BB,A,Experimental,A,0.873
226,BB,A,Experimental,B,0.595
227,BB,A,Experimental,C,0.792
228,BB,A,Control,A,0.797
229,BB,A,Control,B,0.814
230,BB,A,Control,C,0.742
231,BB,A,Control,D,0.851
232,BB,A,Experimental,A,0.889
233,BB,A,Experimental,B,0.668
234,BB,A,Experimental,C,0.697
235,BB,A,Control,A,0.827
236,BB,A,Control,B,0.706
237,BB,A,Control,C,0.746
238,BB,A,Control,D,0.85
239,BB,A,Experimental,A,0.869
240,BB,A,Experimental,B,0.816
241,BB,A,Experimental,C,0.821
242,BB,A,Control,A,0.856
243,BB,A,Control,B,0.804
244,BB,A,Control,C,0.55
245,BB,A,Control,D,0.828
246,BB,A,Experimental,A,0.853
