ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.86
2,BB,main,Phase 1,B,0.86
3,BB,main,Phase 1,C,0.793
4,BB,main,Phase 2,A,0.86
5,BB,main,Phase 2,B,0.86
6,BB,main,Phase 2,C,0.793
7,BB,main,Phase 1,A,0.86
8,BB,main,Phase 1,B,0.86
9,BB,main,Phase 1,C,0.793
10,BB,main,Phase 2,A,0.86
11,BB,main,Phase 2,B,0.86
12,BB,main,Phase 2,C,0.793
13,BB,main,Phase 1,A,0.86
14,BB,main,Phase 1,B,0.86
15,BB,main,Phase 1,C,0.793
16,BB,main,Phase 2,A,0.86
17,BB,main,Phase 2,B,0.86
18,BB,main,Phase 2,C,0.793
19,BB,main,Phase 1,A,0.86
20,BB,main,Phase 1,B,0.86
21,BB,main,Phase 1,C,0.793
22,BB,main,Phase 2,A,0.86
23,BB,main,Phase 2,B,0.86
24,BB,main,Phase 2,C,0.793
25,BB,main,Phase 1,A,0.86
26,BB,main,Phase 1,B,0.86
27,BB,main,Phase 1,C,0.793
28,BB,main,Phase 2,A,0.86
29,BB,main,Phase 2,B,0.86
30,BB,main,Phase 2,C,0.793
31,BB,main,Phase 1,A,0.86
32,BB,main,Phase 1,B,0.86
33,BB,main,Phase 1,C,0.793
34,BB,main,Phase 2,A,0.86
35,BB,main,Phase 2,B,0.86
36,BB,main,Phase 2,C,0.793
37,BB,main,Phase 1,A,0.86
38,BB,main,Phase 1,B,0.86
39,BB,main,Phase 1,C,0.793
40,BB,main,Phase 2,A,0.86
41,BB,main,Phase 2,B,0.86
42,BB,main,Phase 2,C,0.793
43,BB,main,Phase 1,A,0.86
44,BB,main,Phase 1,B,0.86
45,BB,main,Phase 1,C,0.793
46,BB,main,Phase 2,A,0.86
47,BB,main,Phase 2,B,0.86
48,BB,main,Phase 2,C,0.793
49,BB,main,Phase 1,A,0.86
50,BB,main,Phase 1,B,0.86
51,BB,main,Phase 1,C,0.793
52,BB,main,Phase 2,A,0.86
53,BB,main,Phase 2,B,0.86
54,BB,main,Phase 2,C,0.793
55,BB,main,Phase 1,A,0.86
56,BB,main,Phase 1,B,0.86
57,BB,main,Phase 1,C,0.793
58,BB,main,Phase 2,A,0.86
59,BB,main,Phase 2,B,0.86
60,BB,main,Phase 2,C,0.793
61,BB,main,Phase 1,A,0.86
62,BB,main,Phase 1,B,0.86
63,BB,main,Phase 1,C,0.793
64,BB,main,Phase 2,A,0.86
65,BB,main,Phase 2,B,0.86
66,BB,main,Phase 2,C,0.793
67,BB,main,Phase 1,A,0.86
68,BB,main,Phase 1,B,0.86
69,BB,main,Phase 1,C,0.793
70,BB,main,Phase 2,A,0.86
71,BB,main,Phase 2,B,0.86
72,BB,main,Phase 2,C,0.793
73,BB,main,Phase 1,A,0.86
74,BB,main,Phase 1,B,0.86
75,BB,main,Phase 1,C,0.793
76,BB,main,Phase 2,A,0.86
77,BB,main,Phase 2,B,0.86
78,BB,main,Phase 2,C,0.793
79,BB,main,Phase 1,A,0.86
80,BB,main,Phase 1,B,0.86
81,BB,main,Phase 1,C,0.793
82,BB,main,Phase 2,A,0.86
83,BB,main,Phase 2,B,0.86
84,BB,main,Phase 2,C,0.793
85,BB,main,Phase 1,A,0.86
86,BB,main,Phase 1,B,0.86
87,BB,main,Phase 1,C,0.793
88,BB,main,Phase 2,A,0.86
89,BB,main,Phase 2,B,0.86
90,BB,main,Phase 2,C,0.793
91,BB,main,Phase 1,A,0.86
92,BB,main,Phase 1,B,0.86
93,BB,main,Phase 1,C,0.793
94,BB,main,Phase 2,A,0.86
95,BB,main,Phase 2,B,0.86
96,BB,main,Phase 2,C,0.793
97,BB,main,Phase 1,A,0.86
98,BB,main,Phase 1,B,0.86
99,BB,main,Phase 1,C,0.793
100,BB,main,Phase 1,A,0.86
101,BB,main,Phase 2,B,0.86
102,BB,main,Phase 2,C,0.793
103,BB,main,Phase 2,A,0.86
104,BB,main,Phase 2,B,0.86
105,BB,main,Phase 1,C,0.793
106,BB,main,Phase 1,A,0.86
107,BB,main,Phase 1,B,0.86
108,BB,main,Phase 1,C,0.793
109,BB,main,Phase 2,A,0.86
110,BB,main,Phase 2,B,0.86
111,BB,main,Phase 2,C,0.793
112,BB,main,Phase 2,A,0.86
113,BB,main,Phase 1,B,0.86
114,BB,main,Phase 1,C,0.793
115,BB,main,Phase 1,A,0.86
116,BB,main,Phase 1,B,0.86
117,BB,main,Phase 2,C,0.793
118,BB,main,Phase 2,A,0.86
119,BB,main,Phase 2,B,0.86
120,BB,main,Phase 2,C,0.793
121,BB,main,Phase 1,A,0.86
122,BB,main,Phase 1,B,0.86
123,BB,main,Phase 1,C,0.793
124,BB,main,Phase 1,A,0.86
125,BB,main,Phase 2,B,0.86
126,BB,main,Phase 2,C,0.793
127,BB,main,Phase 2,A,0.86
128,BB,main,Phase 2,B,0.86
129,BB,main,Phase 1,C,0.793
130,BB,main,Phase 1,A,0.86
131,BB,main,Phase 1,B,0.86
132,BB,main,Phase 1,C,0.793
133,BB,main,Phase 2,A,0.86
134,BB,main,Phase 2,B,0.86
135,BB,main,Phase 2,C,0.793
136,BB,main,Phase 2,A,0.86
137,BB,main,Phase 1,B,0.86
138,BB,main,Phase 1,C,0.793
139,BB,main,Phase 1,A,0.86
140,BB,main,Phase 1,B,0.86
141,BB,main,Phase 2,C,0.793
142,BB,main,Phase 2,A,0.86
143,BB,main,Phase 2,B,0.86
144,BB,main,Phase 2,C,0.793
145,BB,control,Phase 1,A,0.793
146,BB,control,Phase 1,B,0.793
147,BB,control,Phase 1,C,0.793
148,BB,control,Phase 1,D,0.793
149,BB,control,Phase 1,E,0.793
150,BB,control,Phase 2,A,0.793
151,BB,control,Phase 2,B,0.793
152,BB,control,Phase 2,C,0.793
