ID,condition,trialType,objects,ratings
1,BB,Experimental,A,0.909
2,BB,Experimental,B,0.888
3,BB,Experimental,C,0.884
4,BB,Experimental,A,0.913
5,BB,Experimental,B,0.891
6,BB,Experimental,C,0.886
7,BB,Experimental,A,0.912
8,BB,Experimental,B,0.891
9,BB,Experimental,C,0.884
10,BB,Experimental,A,0.914
11,BB,Experimental,B,0.883
12,BB,Experimental,C,0.89
13,BB,Experimental,A,0.908
14,BB,Experimental,B,0.883
15,BB,Experimental,C,0.887
16,BB,Experimental,A,0.915
17,BB,Experimental,B,0.89
18,BB,Experimental,C,0.883
19,BB,Experimental,A,0.914
20,BB,Experimental,B,0.884
21,BB,Experimental,C,0.885
22,BB,Experimental,A,0.914
23,BB,Experimental,B,0.883
24,BB,Experimental,C,0.89
25,BB,Experimental,A,0.908
26,BB,Experimental,B,0.886
27,BB,Experimental,C,0.887
28,BB,Experimental,A,0.915
29,BB,Experimental,B,0.891
30,BB,Experimental,C,0.883
31,BB,Experimental,A,0.908
32,BB,Experimental,B,0.89
33,BB,Experimental,C,0.89
34,BB,Experimental,A,0.914
35,BB,Experimental,B,0.883
36,BB,Experimental,C,0.891
37,BB,Experimental,A,0.914
38,BB,Experimental,B,0.883
39,BB,Experimental,C,0.883
40,BB,Experimental,A,0.915
41,BB,Experimental,B,0.889
42,BB,Experimental,C,0.884
43,BB,Experimental,A,0.91
44,BB,Experimental,B,0.892
45,BB,Experimental,C,0.883
46,BB,Experimental,A,0.915
47,BB,Experimental,B,0.892
48,BB,Experimental,C,0.884
49,BB,Experimental,A,0.913
50,BB,Experimental,B,0.883
51,BB,Experimental,C,0.885
52,BB,Experimental,A,0.907
53,BB,Experimental,B,0.883
54,BB,Experimental,C,0.888
55,BB,Experimental,A,0.908
56,BB,Experimental,B,0.889
57,BB,Experimental,C,0.883
58,BB,Experimental,A,0.909
59,BB,Experimental,B,0.883
60,BB,Experimental,C,0.892
61,BB,Experimental,A,0.911
62,BB,Experimental,B,0.889
63,BB,Experimental,C,0.883
64,BB,Experimental,A,0.911
65,BB,Experimental,B,0.885
66,BB,Experimental,C,0.883
67,BB,Experimental,A,0.91
68,BB,Experimental,B,0.892
69,BB,Experimental,C,0.883
70,BB,Experimental,A,0.911
71,BB,Experimental,B,0.89
72,BB,Experimental,C,0.888
73,BB,Experimental,A,0.915
74,BB,Experimental,B,0.891
75,BB,Experimental,C,0.892
76,BB,Experimental,A,0.915
77,BB,Experimental,B,0.883
78,BB,Experimental,C,0.892
79,BB,Experimental,A,0.911
80,BB,Experimental,B,0.89
81,BB,Experimental,C,0.892
82,BB,Experimental,A,0.91
83,BB,Experimental,B,0.89
84,BB,Experimental,C,0.89
85,BB,Experimental,A,0.915
86,BB,Experimental,B,0.884
87,BB,Experimental,C,0.887
88,BB,Experimental,A,0.908
89,BB,Experimental,B,0.883
90,BB,Experimental,C,0.884
91,BB,Experimental,A,0.914
92,BB,Experimental,B,0.886
93,BB,Experimental,C,0.883
94,BB,Experimental,A,0.908
95,BB,Experimental,B,0.892
96,BB,Experimental,C,0.886
97,BB,Experimental,A,0.915
98,BB,Experimental,B,0.883
99,BB,Experimental,C,0.89
100,BB,Experimental,A,0.909
101,BB,Experimental,B,0.887
102,BB,Experimental,C,0.883
103,BB,Experimental,A,0.908
104,BB,Experimental,B,0.884
105,BB,Experimental,C,0.891
106,BB,Experimental,A,0.91
107,BB,Experimental,B,0.892
108,BB,Experimental,C,0.883
109,BB,Experimental,A,0.907
110,BB,Experimental,B,0.891
111,BB,Experimental,C,0.884
112,BB,Experimental,A,0.915
113,BB,Experimental,B,0.883
114,BB,Experimental,C,0.883
115,BB,Experimental,A,0.911
116,BB,Experimental,B,0.888
117,BB,Experimental,C,0.883
118,BB,Experimental,A,0.912
119,BB,Experimental,B,0.891
120,BB,Experimental,C,0.892
121,BB,Experimental,A,0.913
122,BB,Experimental,B,0.884
123,BB,Experimental,C,0.891
124,BB,Experimental,A,0.912
125,BB,Experimental,B,0.892
126,BB,Experimental,C,0.892
127,BB,Experimental,A,0.91
128,BB,Experimental,B,0.884
129,BB,Experimental,C,0.883
130,BB,Experimental,A,0.908
131,BB,Experimental,B,0.889
132,BB,Experimental,C,0.891
133,BB,Experimental,A,0.908
134,BB,Experimental,B,0.89
135,BB,Experimental,C,0.884
136,BB,Experimental,A,0.908
137,BB,Experimental,B,0.89
138,BB,Experimental,C,0.883
139,BB,Experimental,A,0.914
140,BB,Experimental,B,0.888
141,BB,Experimental,C,0.889
142,BB,Experimental,A,0.907
143,BB,Experimental,B,0.885
144,BB,Experimental,C,0.883
145,BB,Experimental,A,0.908
146,BB,Experimental,B,0.887
147,BB,Experimental,C,0.889
148,BB,Experimental,A,0.912
149,BB,Experimental,B,0.884
150,BB,Experimental,C,0.885
151,BB,Experimental,A,0.915
152,BB,Experimental,B,0.889
153,BB,Experimental,C,0.885
154,BB,Experimental,A,0.915
155,BB,Experimental,B,0.89
156,BB,Experimental,C,0.891
157,BB,Experimental,A,0.915
158,BB,Experimental,B,0.884
159,BB,Experimental,C,0.883
160,BB,Experimental,A,0.909
161,BB,Experimental,B,0.884
162,BB,Experimental,C,0.883
163,BB,Experimental,A,0.911
164,BB,Experimental,B,0.883
165,BB,Experimental,C,0.883
166,BB,Experimental,A,0.915
167,BB,Experimental,B,0.892
168,BB,Experimental,C,0.886
169,BB,Experimental,A,0.912
170,BB,Experimental,B,0.883
171,BB,Experimental,C,0.891
172,BB,Experimental,A,0.909
173,BB,Experimental,B,0.884
174,BB,Experimental,C,0.89
175,BB,Experimental,A,0.907
176,BB,Experimental,B,0.886
177,BB,Experimental,C,0.885
178,BB,Experimental,A,0.915
179,BB,Experimental,B,0.891
180,BB,Experimental,C,0.883
181,BB,Experimental,A,0.908
182,BB,Experimental,B,0.888
183,BB,Experimental,C,0.891
184,BB,Experimental,A,0.912
185,BB,Experimental,B,0.887
186,BB,Experimental,C,0.885
187,BB,Experimental,A,0.911
188,BB,Experimental,B,0.892
189,BB,Experimental,C,0.888
190,BB,Experimental,A,0.911
191,BB,Experimental,B,0.888
192,BB,Experimental,C,0.886
193,BB,Experimental,A,0.912
194,BB,Experimental,B,0.883
195,BB,Experimental,C,0.886
196,BB,Experimental,A,0.915
197,BB,Experimental,B,0.883
198,BB,Experimental,C,0.892
199,BB,Experimental,A,0.91
200,BB,Experimental,B,0.887
201,BB,Experimental,C,0.892
202,BB,Experimental,A,0.915
203,BB,Experimental,B,0.883
204,BB,Experimental,C,0.889
205,BB,Experimental,A,0.915
206,BB,Experimental,B,0.884
207,BB,Experimental,C,0.887
208,BB,Experimental,A,0.915
209,BB,Experimental,B,0.892
210,BB,Experimental,C,0.891
211,BB,Experimental,A,0.913
212,BB,Experimental,B,0.888
213,BB,Experimental,C,0.884
214,BB,Experimental,A,0.915
215,BB,Experimental,B,0.883
216,BB,Experimental,C,0.89
217,BB,Experimental,A,0.907
218,BB,Experimental,B,0.886
219,BB,Experimental,C,0.883
220,BB,Experimental,A,0.908
221,BB,Experimental,B,0.891
222,BB,Experimental,C,0.889
223,BB,Experimental,A,0.911
224,BB,Experimental,B,0.891
225,BB,Experimental,C,0.883
226,BB,Experimental,A,0.912
227,BB,Experimental,B,0.885
228,BB,Experimental,C,0.889
229,BB,Experimental,A,0.908
230,BB,Experimental,B,0.883
231,BB,Experimental,C,0.891
232,BB,Experimental,A,0.911
233,BB,Experimental,B,0.887
234,BB,Experimental,C,0.892
235,BB,Experimental,A,0.91
236,BB,Experimental,B,0.886
237,BB,Experimental,C,0.89
238,BB,Experimental,A,0.909
239,BB,Experimental,B,0.884
240,BB,Experimental,C,0.883
241,BB,Experimental,A,0.915
242,BB,Experimental,B,0.884
243,BB,Experimental,C,0.884
244,BB,Experimental,A,0.912
245,BB,Experimental,B,0.885
246,BB,Experimental,C,0.89
247,BB,Experimental,A,0.915
248,BB,Experimental,B,0.892
249,BB,Experimental,C,0.891
250,BB,Experimental,A,0.915
251,BB,Experimental,B,0.888
252,BB,Experimental,C,0.892
253,BB,Experimental,A,0.909
254,BB,Experimental,B,0.892
255,BB,Experimental,C,0.891
256,BB,Experimental,A,0.915
257,BB,Experimental,B,0.89
258,BB,Experimental,C,0.89
259,BB,Experimental,A,0.914
260,BB,Experimental,B,0.885
261,BB,Experimental,C,0.89
262,BB,Experimental,A,0.915
263,BB,Experimental,B,0.883
264,BB,Experimental,C,0.883
265,BB,Experimental,A,0.907
266,BB,Experimental,B,0.883
267,BB,Experimental,C,0.891
268,BB,Experimental,A,0.911
269,BB,Experimental,B,0.883
270,BB,Experimental,C,0.887
271,BB,Experimental,A,0.911
272,BB,Experimental,B,0.892
273,BB,Experimental,C,0.887
274,BB,Experimental,A,0.915
275,BB,Experimental,B,0.885
276,BB,Experimental,C,0.891
277,BB,Experimental,A,0.91
278,BB,Experimental,B,0.891
279,BB,Experimental,C,0.885
280,BB,Experimental,A,0.914
281,BB,Experimental,B,0.887
282,BB,Experimental,C,0.884
283,BB,Experimental,A,0.915
284,BB,Experimental,B,0.892
285,BB,Experimental,C,0.892
286,BB,Experimental,A,0.915
287,BB,Experimental,B,0.887
288,BB,Experimental,C,0.891
289,BB,Experimental,A,0.913
290,BB,Experimental,B,0.892
291,BB,Experimental,C,0.885
292,BB,Experimental,A,0.907
293,BB,Experimental,B,0.883
294,BB,Experimental,C,0.889
295,BB,Experimental,A,0.915
296,BB,Experimental,B,0.891
297,BB,Experimental,C,0.89
298,BB,Experimental,A,0.915
299,BB,Experimental,B,0.889
300,BB,Experimental,C,0.892
301,BB,Experimental,A,0.914
302,BB,Experimental,B,0.891
303,BB,Experimental,C,0.883
304,BB,Experimental,A,0.915
305,BB,Experimental,B,0.892
306,BB,Experimental,C,0.883
307,BB,Experimental,A,0.908
308,BB,Experimental,B,0.885
309,BB,Experimental,C,0.892
310,BB,Experimental,A,0.915
311,BB,Experimental,B,0.887
312,BB,Experimental,C,0.891
313,BB,Experimental,A,0.91
314,BB,Experimental,B,0.891
315,BB,Experimental,C,0.888
316,BB,Experimental,A,0.914
317,BB,Experimental,B,0.89
318,BB,Experimental,C,0.887
319,BB,Experimental,A,0.915
320,BB,Experimental,B,0.883
321,BB,Experimental,C,0.891
322,BB,Experimental,A,0.909
323,BB,Experimental,B,0.892
324,BB,Experimental,C,0.883
325,BB,Experimental,A,0.91
326,BB,Experimental,B,0.891
327,BB,Experimental,C,0.884
328,BB,Experimental,A,0.911
329,BB,Experimental,B,0.886
330,BB,Experimental,C,0.885
331,BB,Experimental,A,0.914
332,BB,Experimental,B,0.883
333,BB,Experimental,C,0.892
334,BB,Experimental,A,0.91
335,BB,Experimental,B,0.886
336,BB,Experimental,C,0.889
337,BB,Experimental,A,0.908
338,BB,Experimental,B,0.892
339,BB,Experimental,C,0.891
340,BB,Experimental,A,0.907
341,BB,Experimental,B,0.884
342,BB,Experimental,C,0.889
343,BB,Experimental,A,0.915
344,BB,Experimental,B,0.891
345,BB,Experimental,C,0.886
346,BB,Experimental,A,0.911
347,BB,Experimental,B,0.883
348,BB,Experimental,C,0.883
349,BB,Experimental,A,0.912
350,BB,Experimental,B,0.883
351,BB,Experimental,C,0.885
352,BB,Experimental,A,0.91
353,BB,Experimental,B,0.884
354,BB,Experimental,C,0.883
355,BB,Experimental,A,0.909
356,BB,Experimental,B,0.891
357,BB,Experimental,C,0.883
358,BB,Experimental,A,0.908
359,BB,Experimental,B,0.889
360,BB,Experimental,C,0.89
361,BB,Experimental,A,0.914
362,BB,Experimental,B,0.89
363,BB,Experimental,C,0.891
364,BB,Experimental,A,0.914
365,BB,Experimental,B,0.891
366,BB,Experimental,C,0.885
367,BB,Experimental,A,0.91
368,BB,Experimental,B,0.884
369,BB,Experimental,C,0.891
370,BB,Experimental,A,0.907
371,BB,Experimental,B,0.892
372,BB,Experimental,C,0.889
373,BB,Experimental,A,0.913
374,BB,Experimental,B,0.888
375,BB,Experimental,C,0.891
376,BB,Experimental,A,0.915
377,BB,Experimental,B,0.886
378,BB,Experimental,C,0.884
379,BB,Experimental,A,0.914
380,BB,Experimental,B,0.889
381,BB,Experimental,C,0.883
382,BB,Experimental,A,0.915
383,BB,Experimental,B,0.885
384,BB,Experimental,C,0.884
385,BB,Experimental,A,0.911
386,BB,Experimental,B,0.891
387,BB,Experimental,C,0.885
388,BB,Experimental,A,0.907
389,BB,Experimental,B,0.892
390,BB,Experimental,C,0.886
391,BB,Experimental,A,0.909
392,BB,Experimental,B,0.892
393,BB,Experimental,C,0.892
394,BB,Experimental,A,0.911
395,BB,Experimental,B,0.886
396,BB,Experimental,C,0.883
397,BB,Experimental,A,0.912
398,BB,Experimental,B,0.891
399,BB,Experimental,C,0.892
400,BB,Experimental,A,0.915
401,BB,Experimental,B,0.888
402,BB,Experimental,C,0.886
403,BB,Experimental,A,0.912
404,BB,Experimental,B,0.89
405,BB,Experimental,C,0.883
406,BB,Experimental,A,0.91
407,BB,Experimental,B,0.887
408,BB,Experimental,C,0.89
409,BB,Experimental,A,0.909
410,BB,Experimental,B,0.892
411,BB,Experimental,C,0.891
412,BB,Experimental,A,0.915
413,BB,Experimental,B,0.89
414,BB,Experimental,C,0.885
415,BB,Experimental,A,0.913
416,BB,Experimental,B,0.891
417,BB,Experimental,C,0.887
418,BB,Experimental,A,0.91
419,BB,Experimental,B,0.885
420,BB,Experimental,C,0.883
421,BB,Experimental,A,0.91
422,BB,Experimental,B,0.892
423,BB,Experimental,C,0.887
424,BB,Experimental,A,0.908
425,BB,Experimental,B,0.89
426,BB,Experimental,C,0.883
427,BB,Experimental,A,0.915
428,BB,Experimental,B,0.883
429,BB,Experimental,C,0.884
430,BB,Experimental,A,0.914
431,BB,Experimental,B,0.883
432,BB,Experimental,C,0.885
433,BB,Experimental,A,0.912
434,BB,Experimental,B,0.889
435,BB,Experimental,C,0.883
436,BB,Experimental,A,0.911
437,BB,Experimental,B,0.886
438,BB,Experimental,C,0.89
439,BB,Experimental,A,0.915
440,BB,Experimental,B,0.891
441,BB,Experimental,C,0.891
442,BB,Experimental,A,0.912
443,BB,Experimental,B,0.891
444,BB,Experimental,C,0.888
445,BB,Experimental,A,0.908
446,BB,Experimental,B,0.891
447,BB,Experimental,C,0.888
448,BB,Experimental,A,0.907
449,BB,Experimental,B,0.89
