ID,condition,subcondition,trialType,objects,ratings
1,BB,A,Experimental,A,0.911
2,BB,A,Experimental,B,0.654
3,BB,A,Experimental,C,0.752
4,BB,A,Control,A,0.803
5,BB,A,Control,B,0.676
6,BB,A,Control,C,0.782
7,BB,A,Control,D,0.851
8,BB,A,Experimental,A,0.863
9,BB,A,Experimental,B,0.641
10,BB,A,Experimental,C,0.761
11,BB,A,Control,A,0.691
12,BB,A,Control,B,0.79
13,BB,A,Control,C,0.65
14,BB,A,Control,D,0.852
15,BB,A,Experimental,A,0.855
16,BB,A,Experimental,B,0.888
17,BB,A,Experimental,C,0.718
18,BB,A,Control,A,0.589
19,BB,A,Control,B,0.715
20,BB,A,Control,C,0.887
21,BB,A,Control,D,0.859
22,BB,A,Experimental,A,0.897
23,BB,A,Experimental,B,0.728
24,BB,A,Experimental,C,0.777
25,BB,A,Control,A,0.716
26,BB,A,Control,B,0.759
27,BB,A,Control,C,0.806
28,BB,A,Control,D,0.854
29,BB,A,Experimental,A,0.862
30,BB,A,Experimental,B,0.87
31,BB,A,Experimental,C,0.698
32,BB,A,Control,A,0.708
33,BB,A,Control,B,0.657
34,BB,A,Control,C,0.845
35,BB,A,Control,D,0.848
36,BB,A,Experimental,A,0.89
37,BB,A,Experimental,B,0.754
38,BB,A,Experimental,C,0.595
39,BB,A,Control,A,0.604
40,BB,A,Control,B,0.842
41,BB,A,Control,C,0.726
42,BB,A,Control,D,0.852
43,BB,A,Experimental,A,0.892
44,BB,A,Experimental,B,0.535
45,BB,A,Experimental,C,0.783
46,BB,A,Control,A,0.832
47,BB,A,Control,B,0.746
48,BB,A,Control,C,0.781
49,BB,A,Control,D,0.858
50,BB,A,Experimental,A,0.867
51,BB,A,Experimental,B,0.77
52,BB,A,Experimental,C,0.589
53,BB,A,Control,A,0.677
54,BB,A,Control,B,0.817
55,BB,A,Control,C,0.745
56,BB,A,Control,D,0.852
57,BB,A,Experimental,A,0.884
58,BB,A,Experimental,B,0.786
59,BB,A,Experimental,C,0.655
60,BB,A,Control,A,0.661
61,BB,A,Control,B,0.835
62,BB,A,Control,C,0.784
63,BB,A,Control,D,0.852
64,BB,A,Experimental,A,0.862
65,BB,A,Experimental,B,0.813
66,BB,A,Experimental,C,0.653
67,BB,A,Control,A,0.76
68,BB,A,Control,B,0.648
69,BB,A,Control,C,0.871
70,BB,A,Control,D,0.848
71,BB,A,Experimental,A,0.885
72,BB,A,Experimental,B,0.681
73,BB,A,Experimental,C,0.652
74,BB,A,Control,A,0.654
75,BB,A,Control,B,0.899
76,BB,A,Control,C,0.665
77,BB,A,Control,D,0.84
78,BB,A,Experimental,A,0.851
79,BB,A,Experimental,B,0.789
80,BB,A,Experimental,C,0.819
81,BB,A,Control,A,0.833
82,BB,A,Control,B,0.808
83,BB,A,Control,C,0.577
84,BB,A,Control,D,0.855
85,BB,A,Experimental,A,0.871
86,BB,A,Experimental,B,0.677
87,BB,A,Experimental,C,0.743
88,BB,A,Control,A,0.77
89,BB,A,Control,B,0.582
90,BB,A,Control,C,0.81
91,BB,A,Control,D,0.852
92,BB,A,Experimental,A,0.866
93,BB,A,Experimental,B,0.76
94,BB,A,Experimental,C,0.622
95,BB,A,Control,A,0.638
96,BB,A,Control,B,0.826
97,BB,A,Control,C,0.707
98,BB,A,Control,D,0.841
99,BB,A,Experimental,A,0.884
100,BB,A,Experimental,B,0.724
101,BB,A,Experimental,C,0.675
102,BB,A,Control,A,0.828
103,BB,A,Control,B,0.494
104,BB,A,Control,C,0.793
105,BB,A,Control,D,0.859
106,BB,A,Experimental,A,0.863
107,BB,A,Experimental,B,0.74
108,BB,A,Experimental,C,0.691
109,BB,A,Control,A,0.773
110,BB,A,Control,B,0.849
111,BB,A,Control,C,0.692
112,BB,A,Control,D,0.86
113,BB,A,Experimental,A,0.865
114,BB,A,Experimental,B,0.877
115,BB,A,Experimental,C,0.757
116,BB,A,Control,A,0.783
117,BB,A,Control,B,0.811
118,BB,A,Control,C,0.791
119,BB,A,Control,D,0.846
120,BB,A,Experimental,A,0.862
121,BB,A,Experimental,B,0.64
122,BB,A,Experimental,C,0.761
123,BB,A,Control,A,0.855
124,BB,A,Control,B,0.675
125,BB,A,Control,C,0.765
126,BB,A,Control,D,0.839
127,BB,A,Experimental,A,0.862
128,BB,A,Experimental,B,0.654
129,BB,A,Experimental,C,0.751
130,BB,A,Control,A,0.786
131,BB,A,Control,B,0.793
132,BB,A,Control,C,0.532
133,BB,A,Control,D,0.849
134,BB,A,Experimental,A,0.853
135,BB,A,Experimental,B,0.835
136,BB,A,Experimental,C,0.754
137,BB,A,Control,A,0.744
138,BB,A,Control,B,0.686
139,BB,A,Control,C,0.71
140,BB,A,Control,D,0.841
141,BB,A,Experimental,A,0.874
142,BB,A,Experimental,B,0.797
143,BB,A,Experimental,C,0.765
144,BB,A,Control,A,0.826
145,BB,A,Control,B,0.805
146,BB,A,Control,C,0.668
147,BB,A,Control,D,0.844
148,BB,A,Experimental,A,0.857
149,BB,A,Experimental,B,0.876
150,BB,A,Experimental,C,0.692
151,BB,A,Control,A,0.806
152,BB,A,Control,B,0.78
153,BB,A,Control,C,0.652
154,BB,A,Control,D,0.843
155,BB,A,Experimental,A,0.876
156,BB,A,Experimental,B,0.785
157,BB,A,Experimental,C,0.598
158,BB,A,Control,A,0.865
159,BB,A,Control,B,0.717
160,BB,A,Control,C,0.58
161,BB,A,Control,D,0.849
162,BB,A,Experimental,A,0.87
163,BB,A,Experimental,B,0.847
164,BB,A,Experimental,C,0.587
165,BB,A,Control,A,0.717
166,BB,A,Control,B,0.647
167,BB,A,Control,C,0.782
168,BB,A,Control,D,0.857
169,BB,A,Experimental,A,0.88
