ID,AGE(Y),SEX,BB/IS,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_1__E,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,CTRL_2__E,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
1,6,0,0,0,0,0,1,1,0,1,0,NaN,0,1,1,0,NaN,0,1,0,0,1,0
2,6,1,0,0,0,0,1,1,1,1,0,NaN,0,0,1,0,NaN,0,1,1,0,1,1
3,6,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
4,6,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,6,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,6,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
8,6,1,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
9,6,0,1,1,1,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
10,6,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,6,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,5,1,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,1,1,0
13,4,1,0,0,0,1,1,1,1,1,0,NaN,1,0,0,1,NaN,1,1,0,1,1,1
14,4,1,1,1,1,0,0,0,1,0,1,NaN,1,1,1,1,NaN,1,1,1,1,0,0
15,5,1,0,2,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1
16,6,1,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
17,5,0,0,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1
18,5,0,0,0,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
19,6,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
20,5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
21,6,1,0,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,6,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,5,0,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
24,5,1,0,0,0,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
25,4,1,1,1,1,1,0,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
26,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
27,6,1,0,2,2,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
28,5,0,0,2,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0
29,5,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,6,0,1,1,3,0,1,1,1,1,0,NaN,1,1,1,0,N/A,0,1,1,0,1,1
31,5,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,6,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,4,1,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
34,5,1,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,6,0,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,6,0,0,2,3,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
37,6,0,0,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
38,4,0,0,0,1,0,1,1,1,1,1,NaN,0,0,1,0,1,1,0,0,0,0,1
39,5,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,6,0,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,6,1,0,0,0,0,1,1,1,0,0,NaN,1,1,1,1,NaN,1,0,1,1,0,0
42,6,0,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
43,6,0,1,1,0,1,1,1,1,0,0,NaN,2,0,1,1,NaN,0,2,1,0,1,2
44,6,1,1,0,0,1,1,0,1,1,0,NaN,1,1,0,0,NaN,0,1,2,0,1,1
45,6,0,1,1,0,0,1,1,2,1,0,NaN,1,1,0,0,NaN,0,0,1,0,1,0
46,5,1,0,0,3,0,1,1,0,0,1,NaN,1,1,0,0,NaN,1,2,2,1,2,2
47,5,1,0,0,0,0,1,0,0,0,1,NaN,1,1,1,1,NaN,0,1,1,1,0,0
48,5,1,0,0,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,1,0
49,5,0,1,1,0,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
50,5,0,0,0,0,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,0,0
51,5,1,0,0,0,0,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
52,5,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,0,1,1,1
53,6,0,1,1,0,0,0,0,0,0,1,NaN,0,0,0,0,NaN,0,2,2,0,0,1
54,6,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,0,1,0,0,1
55,5,0,0,0,1,0,0,1,1,1,0,NaN,1,1,1,1,NaN,1,0,0,1,1,1
56,5,0,0,0,0,1,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
57,5,1,0,0,2,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
58,6,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
59,5,0,0,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
60,5,1,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
61,5,1,0,0,2,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
62,5,0,0,0,0,1,1,1,0,1,1,NaN,1,1,0,0,NaN,1,0,1,1,1,0
64,5,1,0,0,2,1,1,1,1,1,1,NaN,0,1,1,1,NaN,1,1,1,1,1,1
65,5,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
66,5,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
67,5,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
68,5,0,0,0,0,1,1,1,0,1,0,NaN,1,1,1,1,NaN,1,1,0,1,1,0
69,5,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
70,5,1,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
71,6,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,1,1
72,5,1,0,0,2,1,1,0,0,1,1,NaN,1,0,1,1,NaN,1,0,0,1,1,1
73,6,1,1,1,1,1,1,1,1,1,0,NaN,2,1,1,0,NaN,0,2,2,0,1,1
74,6,1,1,1,1,0,1,2,0,1,1,NaN,0,1,0,0,NaN,1,2,2,1,0,1
75,5,1,0,0,2,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,0,0
76,5,0,0,0,2,0,1,1,1,0,1,NaN,1,1,0,1,NaN,1,0,1,1,0,1
77,6,1,1,1,1,0,0,1,1,0,0,NaN,1,0,1,1,NaN,1,2,0,1,0,0
