ID,AGE,SEX,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CONTROL_1_CHOICE_A,CONTROL_1_CHOICE_B,CONTROL_1_CHOICE_C,CONTROL_1_CHOICE_D,CONTROL_1_CHOICE_E,CONTROL_2_CHOICE_A,CONTROL_2_CHOICE_B,CONTROL_2_CHOICE_C,CONTROL_2_CHOICE_D,CONTROL_2_CHOICE_E,MAIN_1_CHOICE_A,MAIN_1_CHOICE_B,MAIN_1_CHOICE_C,MAIN_2_CHOICE_A,MAIN_2_CHOICE_B,MAIN_2_CHOICE_C
1,6,1,1,2,1,1,1,1,1,0,NA,1,1,1,NA,NA,0,1,1,0,1,1
2,6,1,0,0,0,1,1,1,0,0,NA,1,1,1,NA,NA,1,0,1,1,0,0
3,6,1,1,1,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,2,2,1,1,1
4,6,1,1,1,1,1,1,1,1,0,NA,2,1,1,NA,NA,0,2,2,0,1,1
5,6,1,1,1,0,1,2,0,1,1,NA,0,1,0,NA,NA,1,2,2,1,0,1
6,5,1,0,3,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
7,5,1,0,0,0,1,0,0,0,1,NA,1,1,1,NA,NA,0,1,1,1,0,0
8,5,1,0,0,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,0,0,1,1,0
9,5,0,1,0,0,1,1,1,1,0,NA,1,1,1,NA,NA,0,1,1,0,1,1
10,5,0,0,0,0,0,1,1,1,1,NA,1,1,1,NA,NA,1,0,0,1,0,0
11,5,1,0,0,0,1,0,0,0,1,NA,0,0,0,NA,NA,1,0,0,1,0,0
12,5,1,0,1,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,0,1,1,1
13,6,0,1,0,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
14,6,0,1,0,1,1,1,1,0,0,NA,2,0,1,NA,NA,0,2,1,0,1,2
15,5,0,0,1,0,0,1,1,1,0,NA,1,1,1,NA,NA,1,0,0,1,1,1
16,5,0,0,0,1,1,0,0,0,1,NA,0,0,0,NA,NA,1,0,0,1,0,0
17,5,1,0,2,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
18,6,1,1,0,1,1,0,1,1,0,NA,1,1,0,NA,NA,0,1,2,0,1,1
19,6,1,1,1,0,0,1,1,0,0,NA,1,0,1,NA,NA,1,2,0,1,0,0
20,5,0,0,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
21,5,1,0,0,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
22,5,1,0,2,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
23,5,0,0,0,1,1,1,0,1,1,NA,1,1,0,NA,NA,1,0,1,1,1,0
24,6,1,0,3,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
25,5,0,0,2,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1
26,5,1,0,2,1,1,1,1,1,1,NA,0,1,1,NA,NA,1,1,1,1,1,1
27,5,1,0,1,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
28,5,1,0,1,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
29,6,0,1,0,0,1,1,2,1,0,NA,1,1,0,NA,NA,0,0,1,0,1,0
30,6,0,1,0,0,0,0,0,0,1,NA,0,0,0,NA,NA,0,2,2,0,0,1
31,6,1,0,3,0,1,1,0,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
32,5,1,0,3,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1
33,5,0,0,0,1,1,1,0,1,0,NA,1,1,1,NA,NA,1,1,0,1,1,0
34,6,1,0,3,0,1,1,1,1,0,NA,1,1,1,NA,NA,1,1,1,1,1,1
